id,tag_oklink,tag_unified,created_at
1,Token,,2025-05-08 13:48:35.049773
3,Exchange,,2025-05-08 13:48:35.05853
8,Bridge,,2025-05-08 14:16:48.282244
9,Earn,,2025-05-08 14:16:48.28535
13,Organization,,2025-05-08 14:17:09.377684
14,DeFi,,2025-05-08 14:17:09.38006
35,DEXes,,2025-05-08 14:18:19.34163
58,Lending,,2025-05-08 14:19:55.771826
203,Other,,2025-05-08 14:26:52.883377
250,NFT,,2025-05-08 14:30:13.384532
254,Stablecoin,,2025-05-08 14:30:13.394944
720,DEX,,2025-05-08 14:53:56.761185
2684,Yield,,2025-05-08 16:21:05.159716
5257,ATM,,2025-05-08 18:16:30.245663
11548,Derivatives,,2025-05-08 22:39:48.607908
13057,Launchpad,,2025-05-08 23:48:33.968696
16837,Indexes,,2025-05-09 02:32:59.940792
18447,Services,,2025-05-09 03:40:11.500347
18664,Gambling,,2025-05-09 03:49:48.722877
19406,Oracles,,2025-05-09 04:23:14.409709
20678,Options,,2025-05-09 05:19:31.63108
21894,SocialFi,,2025-05-09 06:13:31.891197
25471,Tools,,2025-05-09 08:37:39.438402
37032,GameFi,,2025-05-09 16:44:32.338415
71771,Staking,,2025-05-10 12:39:52.484497
113361,Personal,,2025-05-11 07:30:57.055508
113987,Perpetuals,,2025-05-11 07:35:32.405485
135153,Mixing,,2025-05-11 10:28:39.380518
149407,NFTFi,,2025-05-11 12:26:16.610583
351219,Payments,,2025-05-12 16:30:27.80444
437657,MiningPool,,2025-05-13 04:11:27.145161
